id,sentence,emotion,layer,confidence
500,They experienced expressed hope in a quiet moment.,hope,2,0.93
501,The situation brought out deep inner peace.,inner_peace,3,0.93
502,It was a moment marked by wonder.,awe,3,0.92
503,They experienced sympathy in a quiet moment.,empathy,2,0.92
504,It reflected a genuine feeling of mourning.,sadness,1,0.92
505,A sudden feeling of expressed sadness filled their heart.,sadness,1,0.95
506,There was a clear sense of lonely throughout the day.,loneliness,2,0.92
507,It reflected a genuine feeling of gratitude.,gratitude,3,0.98
508,Everyone noticed the deeply moved in that moment.,joy,1,0.83
509,Everyone noticed the sense of awe in that moment.,awe,3,0.93
510,That experience left them with lasting gratitude.,gratitude,3,0.92
511,It was a moment marked by fear.,fear,1,0.98
512,It reflected a genuine feeling of hopeful.,hope,2,0.92
513,That experience left them with lasting hopeful.,hope,2,0.92
514,It reflected a genuine feeling of sad.,sadness,1,0.95
515,You could sense the sadness in their voice.,sadness,1,0.92
516,You could sense the compassion in their voice.,compassion,3,0.92
517,A sudden feeling of peace of mind filled their heart.,inner_peace,3,0.95
518,That experience left them with lasting hopeful.,hope,2,0.95
519,They experienced felt regret in a quiet moment.,regret,2,0.92
520,A sudden feeling of isolation filled their heart.,loneliness,2,0.92
521,A sudden feeling of isolation filled their heart.,loneliness,2,0.95
522,Everyone noticed the empathy in that moment.,empathy,2,0.98
523,You could sense the thankful in their voice.,gratitude,3,0.92
524,A sudden feeling of felt regret filled their heart.,regret,2,0.92
525,It was a moment marked by felt sympathy.,empathy,2,0.92
526,A sudden feeling of heartbroken filled their heart.,sadness,1,0.95
527,That experience left them with lasting felt regret.,regret,2,0.93
528,It reflected a genuine feeling of celebration.,joy,1,0.92
529,That experience left them with lasting sympathy.,empathy,2,0.92
530,The situation brought out deep empathy.,empathy,2,0.95
531,A sudden feeling of happiness filled their heart.,joy,1,0.95
532,That experience left them with lasting happy.,joy,1,0.92
533,There was a clear sense of empathy throughout the day.,empathy,2,0.93
534,It reflected a genuine feeling of peace of mind.,inner_peace,3,0.92
535,Everyone noticed the grateful in that moment.,gratitude,3,0.92
536,There was a clear sense of heartbroken throughout the day.,sadness,1,0.92
537,There was a clear sense of regret throughout the day.,regret,2,0.98
538,They struggled with frightened but tried to stay composed.,fear,1,0.92
539,That experience left them with lasting calmness.,inner_peace,3,0.83
540,The situation brought out deep sadness.,sadness,1,0.95
541,Everyone noticed the understanding others in that moment.,empathy,2,0.83
542,They experienced public anger in a quiet moment.,anger,1,0.92
543,The situation brought out deep expressed gratitude.,gratitude,3,0.95
544,They struggled with frightened but tried to stay composed.,fear,1,0.92
545,They experienced loneliness in a quiet moment.,loneliness,2,0.93
546,It was a moment marked by acceptance.,inner_peace,3,0.92
547,It reflected a genuine feeling of hope.,hope,2,0.95
548,You could sense the expressed fear in their voice.,fear,1,0.92
549,Everyone noticed the grateful in that moment.,gratitude,3,0.92
550,They struggled with grief but tried to stay composed.,sadness,1,0.85
551,That experience left them with lasting wonder.,awe,3,0.93
552,There was a clear sense of deeply moved throughout the day.,joy,1,0.83
553,There was a clear sense of terrified throughout the day.,fear,1,0.92
554,A sudden feeling of heartbroken filled their heart.,sadness,1,0.92
555,Everyone noticed the acceptance in that moment.,empathy,2,0.82
556,A sudden feeling of happy filled their heart.,joy,1,0.95
557,You could sense the social isolation in their voice.,loneliness,2,0.92
558,There was a clear sense of anger throughout the day.,anger,1,0.95
559,That experience left them with lasting grateful.,gratitude,3,0.93
560,That experience left them with lasting expressed gratitude.,gratitude,3,0.98
561,You could sense the social isolation in their voice.,loneliness,2,0.92
562,They experienced isolation in a quiet moment.,loneliness,2,0.83
563,There was a clear sense of outrage throughout the day.,anger,1,0.83
564,Everyone noticed the happy in that moment.,joy,1,0.92
565,They struggled with expressed regret but tried to stay composed.,regret,2,0.83
566,There was a clear sense of furious throughout the day.,anger,1,0.95
567,The situation brought out deep outrage.,anger,1,0.92
568,They struggled with thankful but tried to stay composed.,gratitude,3,0.72
569,There was a clear sense of expressed anger throughout the day.,anger,1,0.95
570,It reflected a genuine feeling of compassionate.,compassion,3,0.95
571,It reflected a genuine feeling of isolation.,loneliness,2,0.92
572,There was a clear sense of inner peace throughout the day.,inner_peace,3,0.93
573,It was a moment marked by compassionate.,empathy,2,0.92
574,A sudden feeling of felt sympathy filled their heart.,empathy,2,0.92
575,They struggled with regret but tried to stay composed.,regret,2,0.83
576,A sudden feeling of deeply moved filled their heart.,awe,3,0.92
577,They experienced compassionate in a quiet moment.,compassion,3,0.92
578,That experience left them with lasting gratitude.,gratitude,3,0.92
579,They struggled with hopeful but tried to stay composed.,hope,2,0.83
580,Everyone noticed the connectedness in that moment.,joy,1,0.83
581,They experienced hope in a quiet moment.,hope,2,0.92
582,There was a clear sense of social isolation throughout the day.,loneliness,2,0.92
583,There was a clear sense of frightened throughout the day.,fear,1,0.93
584,A sudden feeling of expressed hope filled their heart.,hope,2,0.92
585,A sudden feeling of delight filled their heart.,joy,1,0.92
586,A sudden feeling of regret filled their heart.,regret,2,0.98
587,The situation brought out deep lonely.,loneliness,2,0.92
588,It was a moment marked by expressed sadness.,sadness,1,0.95
589,They experienced human connection in a quiet moment.,empathy,2,0.83
590,The situation brought out deep angry.,anger,1,0.9
591,It was a moment marked by grief.,sadness,1,0.95
592,They struggled with social isolation but tried to stay composed.,loneliness,2,0.73
593,It reflected a genuine feeling of anger.,anger,1,0.95
594,They experienced mourning in a quiet moment.,sadness,1,0.92
595,The situation brought out deep angry.,anger,1,0.95
596,The situation brought out deep regret.,regret,2,0.95
597,It reflected a genuine feeling of wonder.,awe,3,0.83
598,It was a moment marked by calmness.,inner_peace,3,0.92
600,They experienced joy in a quiet moment.,joy,1,0.92
601,A sudden feeling of frightened filled their heart.,fear,1,0.92
602,They experienced compassion in a quiet moment.,compassion,3,0.95
603,They experienced awe in a quiet moment.,awe,3,0.92
604,Everyone noticed the expressed joy in that moment.,joy,1,0.95
605,That experience left them with lasting sad.,sadness,1,0.93
606,A sudden feeling of compassionate filled their heart.,compassion,3,0.93
607,It reflected a genuine feeling of regret.,regret,2,0.92
608,Everyone noticed the happy in that moment.,joy,1,0.95
609,There was a clear sense of grateful throughout the day.,gratitude,3,0.95
610,The situation brought out deep understanding others.,empathy,2,0.95
611,It was a moment marked by compassionate.,compassion,3,0.95
612,It was a moment marked by remorse.,regret,2,0.92
613,There was a clear sense of felt sympathy throughout the day.,empathy,2,0.92
614,There was a clear sense of remorse throughout the day.,regret,2,0.92
615,A sudden feeling of felt sympathy filled their heart.,empathy,2,0.92
616,There was a clear sense of hopeful throughout the day.,hope,2,0.92
617,You could sense the expressed fear in their voice.,fear,1,0.93
618,It was a moment marked by connectedness.,empathy,2,0.83
619,There was a clear sense of remorse throughout the day.,regret,2,0.92
620,Everyone noticed the hope in that moment.,hope,2,0.92
621,It reflected a genuine feeling of happiness.,joy,1,0.95
622,That experience left them with lasting sympathy.,empathy,2,0.92
623,Everyone noticed the furious in that moment.,anger,1,0.92
624,You could sense the expressed joy in their voice.,joy,1,0.95
625,They experienced connectedness in a quiet moment.,inner_peace,3,0.92
626,A sudden feeling of calmness filled their heart.,inner_peace,3,0.92
627,They struggled with sympathy but tried to stay composed.,empathy,2,0.83
628,It was a moment marked by hopeful.,hope,2,0.95
629,Everyone noticed the isolation in that moment.,loneliness,2,0.83
630,They experienced delight in a quiet moment.,joy,1,0.95
631,The situation brought out deep public anger.,anger,1,0.92
632,You could sense the expressed sadness in their voice.,sadness,1,0.92
633,A sudden feeling of gratitude filled their heart.,gratitude,3,0.95
634,There was a clear sense of remorse throughout the day.,regret,2,0.92
635,There was a clear sense of delight throughout the day.,joy,1,0.95
636,They struggled with letting go but tried to stay composed.,sadness,1,0.73
637,They struggled with angry but tried to stay composed.,anger,1,0.83
638,There was a clear sense of grateful throughout the day.,gratitude,3,0.98
639,A sudden feeling of terrified filled their heart.,fear,1,0.93
640,It was a moment marked by expressed fear.,fear,1,0.95
641,They struggled with expressed joy but tried to stay composed.,joy,1,0.72
642,It reflected a genuine feeling of loneliness.,loneliness,2,0.93
643,Everyone noticed the expressed hope in that moment.,hope,2,0.95
644,It reflected a genuine feeling of compassion.,compassion,3,0.95
645,They experienced felt regret in a quiet moment.,regret,2,0.92
646,It was a moment marked by deeply moved.,sadness,1,0.85
647,Everyone noticed the felt sympathy in that moment.,empathy,2,0.92
648,A sudden feeling of sympathy filled their heart.,empathy,2,0.93
649,You could sense the calmness in their voice.,inner_peace,3,0.83
650,They experienced peace of mind in a quiet moment.,inner_peace,3,0.93
651,The situation brought out deep sense of awe.,awe,3,0.92
652,There was a clear sense of sympathy throughout the day.,empathy,2,0.93
653,They struggled with expressed anger but tried to stay composed.,anger,1,0.83
654,You could sense the inner peace in their voice.,inner_peace,3,0.92
655,There was a clear sense of afraid throughout the day.,fear,1,0.92
656,A sudden feeling of happiness filled their heart.,joy,1,0.95
657,Everyone noticed the afraid in that moment.,fear,1,0.92
658,They experienced outrage in a quiet moment.,anger,1,0.92
659,They experienced loneliness in a quiet moment.,loneliness,2,0.92
660,There was a clear sense of compassion throughout the day.,compassion,3,0.93
661,A sudden feeling of wonder filled their heart.,awe,3,0.93
662,They struggled with expressed hope but tried to stay composed.,hope,2,0.83
663,A sudden feeling of gratitude filled their heart.,gratitude,3,0.92
664,That experience left them with lasting calmness.,inner_peace,3,0.92
665,Everyone noticed the compassionate in that moment.,empathy,2,0.93
666,The situation brought out deep mercy.,empathy,2,0.92
667,There was a clear sense of mercy throughout the day.,compassion,3,0.92
668,That experience left them with lasting felt sympathy.,empathy,2,0.95
669,It reflected a genuine feeling of regret.,regret,2,0.95
670,That experience left them with lasting regret.,regret,2,0.92
671,They experienced regret in a quiet moment.,regret,2,0.98
672,A sudden feeling of isolation filled their heart.,loneliness,2,0.92
673,They struggled with expressed fear but tried to stay composed.,fear,1,0.85
674,A sudden feeling of connectedness filled their heart.,empathy,2,0.92
675,They experienced mercy in a quiet moment.,empathy,2,0.83
676,They experienced panic in a quiet moment.,fear,1,0.92
677,There was a clear sense of outrage throughout the day.,anger,1,0.93
678,You could sense the gratitude in their voice.,gratitude,3,0.93
679,It was a moment marked by wonder.,awe,3,0.92
680,It reflected a genuine feeling of regret.,regret,2,0.95
681,They experienced expressed fear in a quiet moment.,fear,1,0.95
682,You could sense the wonder in their voice.,awe,3,0.92
683,They experienced felt sympathy in a quiet moment.,empathy,2,0.95
684,You could sense the compassionate in their voice.,empathy,2,0.92
685,They experienced fear in a quiet moment.,fear,1,0.95
686,There was a clear sense of sign of hope throughout the day.,hope,2,0.92
687,It reflected a genuine feeling of afraid.,fear,1,0.98
688,They struggled with afraid but tried to stay composed.,fear,1,0.83
689,It was a moment marked by human connection.,empathy,2,0.85
690,That experience left them with lasting lonely.,loneliness,2,0.95
691,That experience left them with lasting mercy.,empathy,2,0.83
692,They struggled with gratitude but tried to stay composed.,sadness,1,0.75
693,It was a moment marked by letting go.,sadness,1,0.83
694,You could sense the peace of mind in their voice.,inner_peace,3,0.92
695,It reflected a genuine feeling of expressed regret.,regret,2,0.95
696,Everyone noticed the letting go in that moment.,sadness,1,0.78
697,They experienced felt sympathy in a quiet moment.,empathy,2,0.92
698,The situation brought out deep terrified.,fear,1,0.95
699,They struggled with gratitude but tried to stay composed.,sadness,1,0.72
700,That experience left them with lasting sense of awe.,awe,3,0.95
701,They experienced expressed gratitude in a quiet moment.,gratitude,3,0.95
702,A sudden feeling of anger filled their heart.,anger,1,0.95
703,You could sense the happy in their voice.,joy,1,0.92
704,The situation brought out deep panic.,fear,1,0.95
705,The situation brought out deep fear.,fear,1,0.95
706,Everyone noticed the public anger in that moment.,anger,1,0.93
707,Everyone noticed the peace of mind in that moment.,inner_peace,3,0.92
708,A sudden feeling of letting go filled their heart.,sadness,1,0.83
709,It was a moment marked by loneliness.,loneliness,2,0.93
710,That experience left them with lasting expressed hope.,hope,2,0.92
711,They struggled with inner peace but tried to stay composed.,sadness,1,0.78
712,A sudden feeling of inner peace filled their heart.,inner_peace,3,0.95
713,They experienced joy in a quiet moment.,joy,1,0.98
714,It was a moment marked by afraid.,fear,1,0.92
715,There was a clear sense of felt sympathy throughout the day.,empathy,2,0.92
716,Everyone noticed the compassionate in that moment.,empathy,2,0.92
718,A sudden feeling of social isolation filled their heart.,loneliness,2,0.92
719,There was a clear sense of afraid throughout the day.,fear,1,0.92
720,There was a clear sense of expressed regret throughout the day.,regret,2,0.98
721,It reflected a genuine feeling of social isolation.,loneliness,2,0.83
722,A sudden feeling of happy filled their heart.,joy,1,0.93
723,They experienced inner peace in a quiet moment.,inner_peace,3,0.92
724,It reflected a genuine feeling of sadness.,sadness,1,0.95
725,You could sense the frightened in their voice.,fear,1,0.93
726,Everyone noticed the public anger in that moment.,anger,1,0.92
727,You could sense the grateful in their voice.,gratitude,3,0.92
728,A sudden feeling of gratitude filled their heart.,gratitude,3,0.93
729,That experience left them with lasting sad.,sadness,1,0.92
730,They experienced expressed regret in a quiet moment.,regret,2,0.92
731,That experience left them with lasting calmness.,inner_peace,3,0.92
732,That experience left them with lasting social isolation.,loneliness,2,0.92
733,They struggled with expressed gratitude but tried to stay composed.,regret,2,0.83
734,You could sense the sign of hope in their voice.,hope,2,0.92
735,It was a moment marked by social isolation.,loneliness,2,0.83
736,The situation brought out deep sense of awe.,awe,3,0.92
737,A sudden feeling of understanding others filled their heart.,empathy,2,0.92
738,There was a clear sense of understanding others throughout the day.,empathy,2,0.92
739,You could sense the expressed sadness in their voice.,sadness,1,0.92
740,They struggled with regret but tried to stay composed.,regret,2,0.9
741,There was a clear sense of sadness throughout the day.,sadness,1,0.95
742,Everyone noticed the understanding others in that moment.,empathy,2,0.92
743,They experienced human connection in a quiet moment.,empathy,2,0.85
744,The situation brought out deep lonely.,loneliness,2,0.95
745,Everyone noticed the deeply moved in that moment.,joy,1,0.83
746,It was a moment marked by understanding others.,empathy,2,0.83
747,You could sense the human connection in their voice.,empathy,2,0.73
748,The situation brought out deep remorse.,regret,2,0.93
749,Everyone noticed the remorse in that moment.,regret,2,0.92
750,It reflected a genuine feeling of panic.,fear,1,0.92
751,There was a clear sense of sad throughout the day.,sadness,1,0.95
752,They struggled with compassion but tried to stay composed.,compassion,3,0.83
753,They experienced remorse in a quiet moment.,regret,2,0.92
754,It was a moment marked by connectedness.,empathy,2,0.92
755,That experience left them with lasting sadness.,sadness,1,0.95
756,A sudden feeling of expressed regret filled their heart.,regret,2,0.95
757,It reflected a genuine feeling of expressed fear.,fear,1,0.98
758,A sudden feeling of celebration filled their heart.,joy,1,0.92
759,The situation brought out deep regret.,regret,2,0.92
760,It reflected a genuine feeling of terrified.,fear,1,0.95
761,They struggled with acceptance but tried to stay composed.,sadness,1,0.82
762,A sudden feeling of sense of awe filled their heart.,awe,3,0.95
763,A sudden feeling of anger filled their heart.,anger,1,0.95
764,They struggled with expressed gratitude but tried to stay composed.,regret,2,0.73
765,They experienced sad in a quiet moment.,sadness,1,0.95
766,There was a clear sense of peace of mind throughout the day.,inner_peace,3,0.93
767,A sudden feeling of inner peace filled their heart.,inner_peace,3,0.93
768,Everyone noticed the sign of hope in that moment.,hope,2,0.92
769,The situation brought out deep hopeful.,hope,2,0.95
770,They experienced celebration in a quiet moment.,joy,1,0.95
771,The situation brought out deep sadness.,sadness,1,0.95
772,It was a moment marked by regret.,regret,2,0.9
773,A sudden feeling of sad filled their heart.,sadness,1,0.93
774,Everyone noticed the grief in that moment.,sadness,1,0.93
776,Everyone noticed the sense of awe in that moment.,awe,3,0.93
777,Everyone noticed the angry in that moment.,anger,1,0.93
778,That experience left them with lasting sign of hope.,hope,2,0.93
779,That experience left them with lasting awe.,awe,3,0.95
780,You could sense the loneliness in their voice.,loneliness,2,0.92
781,They struggled with awe but tried to stay composed.,awe,3,0.83
782,It was a moment marked by happiness.,joy,1,0.92
783,A sudden feeling of sign of hope filled their heart.,hope,2,0.95
784,They struggled with hope but tried to stay composed.,hope,2,0.72
785,That experience left them with lasting letting go.,sadness,1,0.92
786,It was a moment marked by wonder.,awe,3,0.95
787,That experience left them with lasting deeply moved.,joy,1,0.82
788,It reflected a genuine feeling of happiness.,joy,1,0.95
789,That experience left them with lasting delight.,joy,1,0.93
790,It reflected a genuine feeling of expressed joy.,joy,1,0.95
791,You could sense the expressed gratitude in their voice.,gratitude,3,0.93
792,You could sense the felt regret in their voice.,regret,2,0.95
793,You could sense the remorse in their voice.,regret,2,0.92
794,Everyone noticed the grateful in that moment.,gratitude,3,0.92
795,That experience left them with lasting compassion.,compassion,3,0.95
796,Everyone noticed the afraid in that moment.,fear,1,0.92
797,The situation brought out deep human connection.,empathy,2,0.83
799,It reflected a genuine feeling of regret.,regret,2,0.93
800,It was a moment marked by angry.,anger,1,0.93
801,Everyone noticed the gratitude in that moment.,gratitude,3,0.95
802,The situation brought out deep compassion.,compassion,3,0.95
803,It was a moment marked by awe.,awe,3,0.95
804,A sudden feeling of sense of awe filled their heart.,awe,3,0.92
805,Everyone noticed the peace of mind in that moment.,inner_peace,3,0.92
806,Everyone noticed the empathy in that moment.,empathy,2,0.95
807,It was a moment marked by grateful.,gratitude,3,0.95
808,They experienced expressed gratitude in a quiet moment.,gratitude,3,0.95
809,That experience left them with lasting thankful.,gratitude,3,0.95
810,It reflected a genuine feeling of acceptance.,inner_peace,3,0.92
811,They struggled with empathy but tried to stay composed.,anger,1,0.71
812,It reflected a genuine feeling of expressed fear.,fear,1,0.92
813,It reflected a genuine feeling of expressed gratitude.,gratitude,3,0.95
814,You could sense the happy in their voice.,joy,1,0.93
815,The situation brought out deep sign of hope.,hope,2,0.92
816,There was a clear sense of expressed anger throughout the day.,anger,1,0.92
817,It reflected a genuine feeling of compassionate.,compassion,3,0.95
818,They struggled with mourning but tried to stay composed.,sadness,1,0.72
819,Everyone noticed the letting go in that moment.,sadness,1,0.83
820,They experienced wonder in a quiet moment.,awe,3,0.93
821,It reflected a genuine feeling of expressed anger.,anger,1,0.95
822,You could sense the grief in their voice.,sadness,1,0.93
823,A sudden feeling of regret filled their heart.,regret,2,0.95
824,The situation brought out deep isolation.,loneliness,2,0.93
825,There was a clear sense of afraid throughout the day.,fear,1,0.92
826,It was a moment marked by hopeful.,hope,2,0.92
827,That experience left them with lasting expressed regret.,regret,2,0.95
828,The situation brought out deep sadness.,sadness,1,0.95
829,There was a clear sense of terrified throughout the day.,fear,1,0.95
830,It was a moment marked by wonder.,awe,3,0.92
831,Everyone noticed the sense of awe in that moment.,awe,3,0.93
832,A sudden feeling of sympathy filled their heart.,empathy,2,0.95
833,It reflected a genuine feeling of wonder.,awe,3,0.95
834,Everyone noticed the expressed fear in that moment.,fear,1,0.92
835,It reflected a genuine feeling of lonely.,loneliness,2,0.92
836,A sudden feeling of panic filled their heart.,fear,1,0.92
837,It was a moment marked by gratitude.,gratitude,3,0.95
838,You could sense the public anger in their voice.,anger,1,0.92
839,There was a clear sense of happiness throughout the day.,joy,1,0.92
840,A sudden feeling of terrified filled their heart.,fear,1,0.98
841,It reflected a genuine feeling of loneliness.,loneliness,2,0.95
842,The situation brought out deep furious.,anger,1,0.92
843,The situation brought out deep grateful.,gratitude,3,0.93
844,It reflected a genuine feeling of sense of awe.,awe,3,0.95
845,Everyone noticed the regret in that moment.,regret,2,0.95
846,Everyone noticed the felt regret in that moment.,regret,2,0.92
847,It reflected a genuine feeling of panic.,fear,1,0.92
848,A sudden feeling of terrified filled their heart.,fear,1,0.98
849,There was a clear sense of isolation throughout the day.,loneliness,2,0.92
850,Everyone noticed the anger in that moment.,anger,1,0.93
851,A sudden feeling of expressed hope filled their heart.,hope,2,0.98
852,The situation brought out deep mercy.,empathy,2,0.83
853,There was a clear sense of happiness throughout the day.,joy,1,0.95
854,You could sense the furious in their voice.,anger,1,0.92
855,It was a moment marked by sad.,sadness,1,0.92
856,A sudden feeling of expressed hope filled their heart.,hope,2,0.93
857,They struggled with grief but tried to stay composed.,sadness,1,0.83
858,You could sense the expressed hope in their voice.,hope,2,0.93
859,It was a moment marked by hope.,hope,2,0.98
860,You could sense the felt regret in their voice.,regret,2,0.92
861,There was a clear sense of understanding others throughout the day.,empathy,2,0.83
862,They struggled with angry but tried to stay composed.,anger,1,0.92
863,There was a clear sense of expressed regret throughout the day.,regret,2,0.95
864,It reflected a genuine feeling of gratitude.,gratitude,3,0.95
865,They struggled with sympathy but tried to stay composed.,empathy,2,0.83
866,The situation brought out deep sense of awe.,awe,3,0.92
867,They struggled with thankful but tried to stay composed.,gratitude,3,0.73
868,A sudden feeling of regret filled their heart.,regret,2,0.95
869,A sudden feeling of outrage filled their heart.,anger,1,0.93
870,A sudden feeling of thankful filled their heart.,gratitude,3,0.95
871,They experienced calmness in a quiet moment.,inner_peace,3,0.92
872,It was a moment marked by isolation.,loneliness,2,0.92
873,You could sense the awe in their voice.,awe,3,0.93
874,A sudden feeling of sense of awe filled their heart.,awe,3,0.98
875,You could sense the inner peace in their voice.,inner_peace,3,0.95
876,They struggled with peace of mind but tried to stay composed.,fear,1,0.72
877,Everyone noticed the sense of awe in that moment.,awe,3,0.95
878,They struggled with remorse but tried to stay composed.,regret,2,0.83
879,There was a clear sense of hope throughout the day.,hope,2,0.93
880,Everyone noticed the expressed joy in that moment.,joy,1,0.92
881,They experienced isolation in a quiet moment.,loneliness,2,0.92
882,You could sense the hopeful in their voice.,hope,2,0.83
883,Everyone noticed the expressed gratitude in that moment.,gratitude,3,0.95
884,It reflected a genuine feeling of empathy.,empathy,2,0.98
885,A sudden feeling of delight filled their heart.,joy,1,0.93
886,There was a clear sense of deeply moved throughout the day.,joy,1,0.92
887,There was a clear sense of thankful throughout the day.,gratitude,3,0.92
888,The situation brought out deep joy.,joy,1,0.98
889,That experience left them with lasting gratitude.,gratitude,3,0.95
890,You could sense the letting go in their voice.,sadness,1,0.92
891,It reflected a genuine feeling of remorse.,regret,2,0.92
892,A sudden feeling of expressed gratitude filled their heart.,gratitude,3,0.95
893,They experienced expressed joy in a quiet moment.,joy,1,0.95
894,It reflected a genuine feeling of expressed fear.,fear,1,0.95
895,Everyone noticed the expressed gratitude in that moment.,gratitude,3,0.95
896,They experienced wonder in a quiet moment.,awe,3,0.92
897,It reflected a genuine feeling of expressed anger.,anger,1,0.95
898,There was a clear sense of grateful throughout the day.,gratitude,3,0.92
899,They struggled with expressed hope but tried to stay composed.,hope,2,0.83
900,They experienced gratitude in a quiet moment.,gratitude,3,0.92
901,The situation brought out deep grief.,sadness,1,0.92
902,They experienced joy in a quiet moment.,joy,1,0.95
903,A sudden feeling of felt regret filled their heart.,regret,2,0.95
904,Everyone noticed the peace of mind in that moment.,inner_peace,3,0.92
905,It reflected a genuine feeling of public anger.,anger,1,0.92
906,It reflected a genuine feeling of public anger.,anger,1,0.93
907,A sudden feeling of deeply moved filled their heart.,awe,3,0.85
908,That experience left them with lasting deeply moved.,joy,1,0.92
909,It was a moment marked by expressed hope.,hope,2,0.98
910,It was a moment marked by grateful.,gratitude,3,0.95
911,A sudden feeling of hopeful filled their heart.,hope,2,0.95
912,That experience left them with lasting furious.,anger,1,0.92
913,There was a clear sense of felt regret throughout the day.,regret,2,0.93
914,The situation brought out deep hopeful.,hope,2,0.83
915,That experience left them with lasting mercy.,empathy,2,0.93
916,There was a clear sense of awe throughout the day.,awe,3,0.93
917,They struggled with gratitude but tried to stay composed.,regret,2,0.73
918,A sudden feeling of expressed regret filled their heart.,regret,2,0.95
919,There was a clear sense of sad throughout the day.,sadness,1,0.92
920,There was a clear sense of compassionate throughout the day.,compassion,3,0.92
921,You could sense the sympathy in their voice.,empathy,2,0.92
922,There was a clear sense of anger throughout the day.,anger,1,0.95
923,It reflected a genuine feeling of public anger.,anger,1,0.9
924,It reflected a genuine feeling of connectedness.,compassion,3,0.92
925,Everyone noticed the expressed joy in that moment.,joy,1,0.92
926,It was a moment marked by social isolation.,loneliness,2,0.82
927,You could sense the happiness in their voice.,joy,1,0.93
928,The situation brought out deep felt sympathy.,empathy,2,0.92
929,Everyone noticed the expressed fear in that moment.,fear,1,0.83
930,That experience left them with lasting furious.,anger,1,0.95
931,You could sense the delight in their voice.,joy,1,0.95
932,There was a clear sense of empathy throughout the day.,empathy,2,0.95
933,They experienced thankful in a quiet moment.,gratitude,3,0.92
934,It reflected a genuine feeling of afraid.,fear,1,0.95
935,The situation brought out deep empathy.,empathy,2,0.95
936,It reflected a genuine feeling of angry.,anger,1,0.93
937,They struggled with joy but tried to stay composed.,joy,1,0.83
938,The situation brought out deep anger.,anger,1,0.92
939,You could sense the hopeful in their voice.,hope,2,0.92
940,It reflected a genuine feeling of lonely.,loneliness,2,0.93
941,You could sense the delight in their voice.,joy,1,0.95
942,You could sense the sign of hope in their voice.,hope,2,0.93
943,Everyone noticed the mourning in that moment.,sadness,1,0.92
944,They experienced expressed joy in a quiet moment.,joy,1,0.95
945,The situation brought out deep social isolation.,loneliness,2,0.92
946,It reflected a genuine feeling of expressed hope.,hope,2,0.93
947,A sudden feeling of inner peace filled their heart.,inner_peace,3,0.92
948,That experience left them with lasting hopeful.,hope,2,0.83
949,They experienced afraid in a quiet moment.,fear,1,0.83
950,They experienced heartbroken in a quiet moment.,sadness,1,0.92
951,There was a clear sense of lonely throughout the day.,loneliness,2,0.95
952,It reflected a genuine feeling of isolation.,loneliness,2,0.93
953,That experience left them with lasting sad.,sadness,1,0.95
954,The situation brought out deep loneliness.,loneliness,2,0.95
955,You could sense the delight in their voice.,joy,1,0.92
956,It reflected a genuine feeling of social isolation.,loneliness,2,0.83
957,There was a clear sense of letting go throughout the day.,regret,2,0.83
958,The situation brought out deep empathy.,empathy,2,0.95
959,That experience left them with lasting expressed regret.,regret,2,0.95
960,That experience left them with lasting lonely.,loneliness,2,0.92
961,The situation brought out deep peace of mind.,inner_peace,3,0.92
962,Everyone noticed the peace of mind in that moment.,inner_peace,3,0.92
963,They struggled with lonely but tried to stay composed.,loneliness,2,0.83
964,You could sense the expressed regret in their voice.,regret,2,0.92
965,A sudden feeling of sadness filled their heart.,sadness,1,0.95
966,The situation brought out deep happy.,joy,1,0.92
967,A sudden feeling of hope filled their heart.,hope,2,0.95
968,There was a clear sense of expressed regret throughout the day.,regret,2,0.92
969,Everyone noticed the lonely in that moment.,empathy,2,0.73
970,It reflected a genuine feeling of loneliness.,loneliness,2,0.93
971,That experience left them with lasting mercy.,compassion,3,0.92
972,There was a clear sense of sadness throughout the day.,sadness,1,0.92
973,It was a moment marked by inner peace.,inner_peace,3,0.95
974,They experienced sadness in a quiet moment.,sadness,1,0.92
975,You could sense the social isolation in their voice.,loneliness,2,0.82
976,It was a moment marked by felt sympathy.,empathy,2,0.95
977,A sudden feeling of heartbroken filled their heart.,sadness,1,0.93
978,You could sense the social isolation in their voice.,loneliness,2,0.92
979,You could sense the happiness in their voice.,joy,1,0.92
980,A sudden feeling of connectedness filled their heart.,empathy,2,0.92
981,They struggled with happiness but tried to stay composed.,sadness,1,0.83
982,It reflected a genuine feeling of felt sympathy.,empathy,2,0.95
983,It was a moment marked by connectedness.,empathy,2,0.83
984,It reflected a genuine feeling of heartbroken.,sadness,1,0.95
985,There was a clear sense of grief throughout the day.,sadness,1,0.92
986,There was a clear sense of expressed gratitude throughout the day.,gratitude,3,0.93
987,That experience left them with lasting hopeful.,hope,2,0.95
988,You could sense the lonely in their voice.,loneliness,2,0.93
989,It reflected a genuine feeling of expressed anger.,anger,1,0.93
990,You could sense the gratitude in their voice.,gratitude,3,0.92
991,Everyone noticed the peace of mind in that moment.,inner_peace,3,0.92
992,There was a clear sense of awe throughout the day.,awe,3,0.95
993,Everyone noticed the thankful in that moment.,gratitude,3,0.95
994,There was a clear sense of thankful throughout the day.,gratitude,3,0.92
995,You could sense the compassionate in their voice.,compassion,3,0.92
